# Published in J. Chem. Theory Comput. 2021, 17, 3, 1662-1677	
#  Minimax grids with 8 points, for different energy ranges (Erange)	
# Grid-points: 8.  N Eranges: 15	
	
# Column1: Frequency    column2: weight	# Column3: Time    column4: weight
	
Erange 0.0000 10.0000	
	
0.2071657943        1.6829817561	0.0410961677        0.1060264691
0.6610068185        2.0059905762	0.2215921004        0.2585290567
1.2441397724        2.7407066346	0.5688643520        0.4435891050
2.0831497522        4.1050402410	1.1299764766        0.6929754149
3.3887988553        6.5987137824	1.9937655343        1.0604512559
5.5847789422       11.6165824094	3.3208105202        1.6406263618
9.8270353946       24.8150218088	5.4098231211        2.6364875094
21.7281350381       92.8374617628	8.9485547791        4.7875207638
	
Erange 10.0000 15.8489	
	
0.2281975509        1.8599530758	0.0294981977        0.0762269210
0.7378108396        2.2968980034	0.1602023889        0.1885752622
1.4244318649        3.3135541624	0.4171350374        0.3328646094
2.4707104240        5.2559877454	0.8475736875        0.5428410724
4.1905418464        8.8891966228	1.5433057317        0.8754790293
7.2131597201       16.2293092701	2.6707425150        1.4275727338
13.1990042083       35.1546864159	4.5354087346        2.4016019104
29.9997176794      130.5228668216	7.8277568864        4.5261221056
	
Erange 15.8489 25.1189	
	
0.2478325384        2.0268816770	0.0209899113        0.0543478976
0.8123920588        2.5953521026	0.1150165283        0.1368874674
1.6105407106        3.9541677572	0.3048862124        0.2503214962
2.8990088123        6.6468551615	0.6373750483        0.4296737848
5.1406825221       11.8697865229	1.2053450775        0.7335320894
9.2811129613       22.6444849853	2.1776820981        1.2599694377
17.7585094674       50.1607418935	3.8637697754        2.2127956985
41.7034890992      185.3662237900	6.9570683332        4.3145944146
	
Erange 25.1189 39.8107	
	
0.2659623770        2.1826051343	0.0148401762        0.0385180029
0.8840006194        2.8969365101	0.0822239432        0.0992010434
1.8001085399        4.6547564120	0.2229043947        0.1894294562
3.3647028374        8.2836499445	0.4824765203        0.3445892444
6.2468323093       15.6488752314	0.9529144401        0.6234527401
11.8655812207       31.3988836891	1.8027560234        1.1253809532
23.8618997130       71.8035815622	3.3434086590        2.0573355093
58.2201559306      265.3268104200	6.2719911449        4.1393353027
	
Erange 39.8107 63.0957	
	
0.2825286714        2.3263348568	0.0104449886        0.0271911499
0.9519740012        3.1969483083	0.0586763377        0.0719923583
1.9904683567        5.4039159733	0.1635760280        0.1447925468
3.8621957498       10.1591360407	0.3689646813        0.2804290097
7.5094353654       20.3111276624	0.7643187927        0.5370201382
15.0358645326       43.0835599994	1.5159884551        1.0156145492
31.9280725161      102.7268225783	2.9363772533        1.9274472597
81.4355610562      382.0571299489	5.7267555407        3.9922032180
	
Erange 63.0957 100.0000	
	
0.2975081621        2.4575559766	0.0073303679        0.0191536972
1.0157197989        3.4905086036	0.0418998419        0.0524874990
2.1786795733        6.1868369685	0.1209028303        0.1121483173
4.3835258184       12.2505252866	0.2859242910        0.2317178191
8.9196010680       25.8995764530	0.6229028126        0.4683927372
18.8421849707       58.2857763972	1.2950331297        0.9251988681
42.4191477984      146.3252239075	2.6150915219        1.8180761389
113.8785066010      552.5439430099	5.2886811820        3.8678537709
	
Erange 100.0000 158.4893	
	
0.3109044422        2.5759785890	0.0051372225        0.0134857752
1.0747189671        3.7727475226	0.0300161640        0.0385736952
2.3616257812        6.9858359192	0.0903142204        0.0882435850
4.9184789791       14.5181804358	0.2250889082        0.1944219012
10.4573448605       32.3968585530	0.5162665984        0.4134424375
23.3016349187       77.4965031785	1.1235047008        0.8503209725
55.7970544598      206.6898871454	2.3595117299        1.7256834115
158.8526834842      801.3623837044	4.9341336214        3.7624829337
	
Erange 158.4893 251.1886	
	
0.3227426886        2.6815110248	0.0036002613        0.0095074576
1.1285376083        4.0390256496	0.0216336337        0.0286789793
2.5361560368        7.7812210364	0.0684129319        0.0706649087
5.4549563099       16.9058863616	0.1803598683        0.1656344893
12.0906636709       39.7087250327	0.4353504991        0.3692115544
28.3830633636      100.9859648148	0.9894641326        0.7881982435
72.4478080141      288.2949361720	2.1550074529        1.6476414680
220.5115689924     1163.5939144504	4.6457957380        3.6732307680
	
Erange 251.1886 398.1072	
	
0.3330653429        2.7742370967	0.0025268045        0.0067246311
1.1768381468        4.2851465838	0.0157375491        0.0216513436
2.6992426824        8.5524035364	0.0527163930        0.0576569758
5.9795753281       19.3430086985	0.1473061940        0.1432645576
13.7758193804       47.6536341676	0.3735693722        0.3335125532
33.9934529728      128.6605545855	0.8841524703        0.7366874142
92.5691845452      395.2752511397	1.9907155422        1.5818713728
303.7688360097     1688.1073861938	4.4106669852        3.5978167045
	
Erange 398.1072 630.9573	
	
0.3419271677        2.8543829626	0.0017790505        0.0047836527
1.2193812021        4.5075059930	0.0115988461        0.0166593084
2.8481167646        9.2790431833	0.0414413896        0.0479683727
6.4783947849       21.7482887853	0.1227558108        0.1258102636
15.4589061277       55.9614042068	0.3261731917        0.3047080911
39.9686099759      159.9244871806	0.8011585238        0.6941204359
116.0253061549      530.1692053572	1.8585679204        1.5267225054
413.8290580287     2439.7513891405	4.2189781344        3.5344255520
	
Erange 630.9573 1000.0000	
	
0.3493873557        2.9222522539	0.0012593172        0.0034335494
1.2560051022        4.7030936074	0.0086977894        0.0131079750
2.9803168477        9.9418316500	0.0333179986        0.0407111652
6.9374999179       24.0339752423	0.1044408163        0.1121712160
17.0780527326       64.2799619324	0.2897047768        0.2815295945
46.0690845013      193.5676803631	0.7357044190        0.6591400198
142.1776489457      692.0765816399	1.7524150854        1.4808101311
554.9087117432     3495.6626462237	4.0631467031        3.4815299149
	
Erange 1000.0000 1584.8932	
	
0.3554939312        2.9780856028	0.0008992926        0.0024984514
1.2865572716        4.8691920632	0.0066689908        0.0105791706
3.0935328862       10.5221897284	0.0274568200        0.0352648241
7.3429185821       26.1072270760	0.0907619245        0.1015481471
18.5642203900       72.1802456621	0.2616803521        0.2630137361
51.9760118440      227.6683260546	0.6842860055        0.6306824085
169.6889674060      874.2020626068	1.6676681182        1.4430323891
727.2704120894     4922.1398607625	3.9374424568        3.4379149107
	
Erange 1584.8932 2511.8864	
	
0.3602495964        3.0217444563	0.0006511970        0.0018548778
1.3107201533        5.0024392748	0.0052555004        0.0087795311
3.1850020782       10.9994660474	0.0232331300        0.0311892270
7.6788144410       27.8625606713	0.0805769027        0.0933425139
19.8359971798       79.1324347665	0.2402766535        0.2484004110
57.2679524910      259.4079260080	0.6442562263        0.6078709938
196.2327143675     1060.4224209113	1.6007710076        1.4124537209
920.7799560162     6698.7319069853	3.8373360452        3.4025456698
	
Erange 2511.8864 3981.0717	
	
0.3635299969        3.0519515067	0.0004817072        0.0014161889
1.3275808457        5.0964010631	0.0042773567        0.0075045226
3.2498551555       11.3423291217	0.0202081663        0.0281686456
7.9215394123       29.1516475981	0.0730638184        0.0870986616
20.7780605758       84.3919081514	0.2241387198        0.2370801484
61.3311078827      284.5012327092	0.6135835799        0.5899701185
217.8756023806     1219.3765125366	1.5489149535        1.3882618018
1101.7305989568     8525.3100524718	3.7591686639        3.3745190976
	
Erange 3981.0717 10000000000000000000000.0	
	
0.3648690337        3.0643035403	0.0003685569        0.0011240610
1.3345094218        5.1352465299	0.0036146241        0.0066196399
3.2767526307       11.4856046077	0.0180909699        0.0259918630
8.0233289348       29.6973060154	0.0676712998        0.0825033143
21.1789256485       86.6575195195	0.2123458390        0.2286284882
63.0974651146      295.5993122773	0.5908753258        0.5764664498
227.6366948945     1293.0627009745	1.5101662571        1.3698931702
1191.0753213079     9485.5947587699	3.7004185615        3.3532110676
	
	
